# ----------------------------------------
# User acquisition: First user primary channel group (Default channel group)
# Account: Waste Hero 
# Property: Waste Hero 
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260306
First user source / medium,Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
ead06.proj.ufsm.br / referral,3,0,1,6.666666666666667,1.3333333333333333,7,1,0.3333333333333333
edgeservices.bing.com / referral,3,0,0,78,1,19,15,1
engage.cloud.microsoft / referral,3,0,0,0,0.6666666666666666,3,0,0
eto.lightning.force.com / referral,3,0,1,29,1.6666666666666667,13,0,0
in.search.yahoo.com / referral,3,0,1,51.333333333333336,0.3333333333333333,12,4,0.3333333333333333
indoramaventures.com / referral,3,0,1,2,1.3333333333333333,15,1,0.3333333333333333
indoramaventures.sharepoint.com / referral,3,0,0,0,1,3,0,0
ktb.org / referral,3,0,1,7,1,8,2,0.6666666666666666
me-qr.com / referral,3,0,1,0,0,12,0,0
niagarawater1.sharepoint.com / referral,3,0,0,0,0.6666666666666666,3,0,0
padlet.com / referral,3,0,1,0,0,4,0,0
pagead2.googlesyndication.com / referral,3,0,0,0,0.3333333333333333,3,0,0
probhaaurora.com / referral,3,0,2,0,1.3333333333333333,9,0,0
sec-word-edit.officeapps.live.com / referral,3,0,1,208.66666666666666,1.3333333333333333,33,28,0.6666666666666666
ukc-word-edit.officeapps.live.com / referral,3,0,0,0,0.3333333333333333,3,0,0
web.skype.com / referral,3,0,1,11,1,9,5,0.6666666666666666
(NEA / (not set),2,0,0,5,1,5,3,0.5
(not set),2,0,0,0,0.5,2,0,0
3DPorvir / (not set),2,0,0,0,0,2,0,0
Jessica Kleczka (Campaign) / Jessica Kleczka (Campaign),2,0,0,0,1,4,0,0
NEA / NEA Grid Sponsorship,2,0,0,0,0,2,0,0
Newsletter Ad / affiliate promotion,2,0,0,0,0,2,0,0
[SEAMOLEC Blast] CAL... (Mass Mailing created on 2023-07-14) / Email,2,0,2,0,0,6,0,0
admanager.google.com / referral,2,0,1,0,0,3,0,0
aol / organic,2,0,0,13,1,4,2,0.5
attachment.outlook.live.net / referral,2,0,0,0,0,4,0,0
borareciclar.com.br / referral,2,0,1,45,2.5,14,10,1
cl.search.yahoo.com / referral,2,0,1,0,1,4,0,0
cop.enneplusproject.eu / referral,2,0,0,86,1,12,10,0.5
copilot.microsoft.com / referral,2,0,0,0,1,3,0,0
googleadservices.com / referral,2,0,0,0,0,2,0,0
lms.lausd.net / referral,2,0,0,13,1,5,3,0.5
online.fliphtml5.com / referral,2,0,0,18,1,8,4,0.5
pl.search.yahoo.com / referral,2,0,1,6,1.5,5,3,0.5
search-dra.dt.dbankcloud.com / referral,2,0,0,85,0.5,24,21,0.5
sharemylesson.com / referral,2,0,0,0,0,2,0,0
tagassistant.google.com / referral,2,0,2,39.5,1.5,66,0,0
uk.search.yahoo.com / referral,2,0,1,10,1,7,4,1
yandex.com.tr / referral,2,0,1,88,0.5,9,7,0.5
(NEA) Ad Campaign / organic,1,0,0,0,0,1,0,0
Ads Campaign / SM,1,0,0,0,1,3,0,0
Dr. Amjad Saqib (Social Media) / influencer promotion,1,0,1,0,0,6,0,0
FubefZlYfffba Bef Dbzcbvta / Fbdvby Zfevb,1,0,0,0,1,1,0,0
Mariana Teran / (not set),1,0,1,297,5,34,26,1
Porvir / (Porvir) Social Media Posts,1,0,0,53,1,2,1,1
ShareMyLesson Campaign / (not set),1,0,0,0,0,1,0,0
ShareMyLesson Campaign / referral,1,0,0,0,1,1,0,0
adwords.corp.google.com / referral,1,0,0,8,1,2,0,0
